2019-11-18 15:58:22 INFO  BankMain:262 - Withdrew: 9750
2019-11-24 18:53:41 INFO  BankMain:248 - Depost: 50000
2019-11-24 18:54:00 INFO  BankMain:248 - Depost: 50001
2019-11-24 18:59:06 INFO  BankMain:249 - Depost: 50101
2019-11-24 19:01:39 INFO  BankMain:249 - Depost: 51101
2019-11-24 19:02:58 INFO  BankMain:249 - Depost: 51146
2019-11-24 19:12:15 INFO  BankMain:266 - Withdrew: 46146
2019-11-25 14:58:57 INFO  BankMain:271 - Withdrew: 45346
2019-11-25 15:01:09 INFO  BankMain:247 - Depost: 60346
